000890 price=9.78, break_price=10, percent_to_break=2.76%, recent_trend=0.32
600728 price=25.19, break_price=27, percent_to_break=5.99%, recent_trend=0.31
600604 price=29.81, break_price=32, percent_to_break=5.74%, recent_trend=0.15
002458 price=44.18, break_price=47, percent_to_break=6.61%, recent_trend=0.22
000037 price=10.32, break_price=10, percent_to_break=0.29%, recent_trend=0.15
002562 price=27.90, break_price=29, percent_to_break=5.30%, recent_trend=0.11
000010 price=8.73, break_price= 9, percent_to_break=2.63%, recent_trend=0.10
600476 price=37.70, break_price=38, percent_to_break=1.30%, recent_trend=0.09
002079 price=9.18, break_price= 9, percent_to_break=0.98%, recent_trend=0.10
600628 price=13.59, break_price=14, percent_to_break=1.99%, recent_trend=0.08
600838 price=14.16, break_price=14, percent_to_break=2.26%, recent_trend=0.08
600136 price=57.89, break_price=61, percent_to_break=6.03%, recent_trend=0.15
600764 price=18.36, break_price=18, percent_to_break=0.71%, recent_trend=0.15
000025 price=72.32, break_price=77, percent_to_break=6.06%, recent_trend=0.14
600106 price=8.36, break_price= 9, percent_to_break=5.62%, recent_trend=0.12
600760 price=12.07, break_price=13, percent_to_break=5.88%, recent_trend=0.11
002681 price=34.33, break_price=35, percent_to_break=1.66%, recent_trend=0.15
600836 price=26.56, break_price=28, percent_to_break=3.99%, recent_trend=0.20
002036 price=24.86, break_price=26, percent_to_break=4.42%, recent_trend=0.11
300312 price=31.40, break_price=32, percent_to_break=0.76%, recent_trend=0.12
000020 price=24.26, break_price=26, percent_to_break=6.14%, recent_trend=0.11
300456 price=91.50, break_price=96, percent_to_break=4.44%, recent_trend=0.10
600661 price=31.77, break_price=33, percent_to_break=3.75%, recent_trend=0.14
002632 price=24.30, break_price=26, percent_to_break=5.76%, recent_trend=0.11
002096 price=19.19, break_price=20, percent_to_break=2.40%, recent_trend=0.10
600846 price=10.26, break_price=10, percent_to_break=1.85%, recent_trend=0.08
300202 price=24.00, break_price=24, percent_to_break=0.67%, recent_trend=0.12
000006 price=8.51, break_price= 9, percent_to_break=2.94%, recent_trend=0.08
002669 price=24.21, break_price=24, percent_to_break=0.91%, recent_trend=0.08
600279 price=12.93, break_price=13, percent_to_break=3.87%, recent_trend=0.09
600774 price=20.10, break_price=20, percent_to_break=1.39%, recent_trend=0.11
600895 price=21.30, break_price=22, percent_to_break=5.54%, recent_trend=0.12
000732 price=21.90, break_price=23, percent_to_break=3.74%, recent_trend=0.10
002570 price=12.26, break_price=12, percent_to_break=1.39%, recent_trend=0.07
600012 price=14.78, break_price=15, percent_to_break=3.32%, recent_trend=0.15
600276 price=47.64, break_price=48, percent_to_break=1.60%, recent_trend=0.04
002506 price=8.29, break_price= 8, percent_to_break=2.41%, recent_trend=0.06
002329 price=16.74, break_price=18, percent_to_break=5.44%, recent_trend=0.10
600201 price=30.77, break_price=32, percent_to_break=4.55%, recent_trend=0.07
600834 price=15.04, break_price=16, percent_to_break=4.99%, recent_trend=0.11
000620 price=7.76, break_price= 8, percent_to_break=1.68%, recent_trend=0.08
601890 price=10.36, break_price=11, percent_to_break=2.90%, recent_trend=0.07
600734 price=13.64, break_price=14, percent_to_break=4.69%, recent_trend=0.09
600391 price=41.75, break_price=45, percent_to_break=6.97%, recent_trend=0.09
603008 price=18.94, break_price=19, percent_to_break=1.95%, recent_trend=0.13
300278 price=16.08, break_price=17, percent_to_break=6.65%, recent_trend=0.15
600864 price=12.61, break_price=13, percent_to_break=6.74%, recent_trend=0.13
002521 price=9.79, break_price=10, percent_to_break=3.17%, recent_trend=0.07
600739 price=17.47, break_price=18, percent_to_break=4.35%, recent_trend=0.14
600435 price=23.89, break_price=24, percent_to_break=1.59%, recent_trend=0.07
002575 price=13.20, break_price=14, percent_to_break=5.00%, recent_trend=0.12
002146 price=7.45, break_price= 8, percent_to_break=4.16%, recent_trend=0.09
000521 price=5.94, break_price= 6, percent_to_break=2.36%, recent_trend=0.09
603169 price=14.79, break_price=15, percent_to_break=4.39%, recent_trend=0.15
600372 price=20.00, break_price=20, percent_to_break=2.05%, recent_trend=0.07
000573 price=7.93, break_price= 8, percent_to_break=2.90%, recent_trend=0.10
600682 price=28.41, break_price=29, percent_to_break=1.48%, recent_trend=0.08
000402 price=9.44, break_price=10, percent_to_break=1.48%, recent_trend=0.06
002269 price=5.15, break_price= 5, percent_to_break=6.02%, recent_trend=0.23
600827 price=14.25, break_price=15, percent_to_break=6.53%, recent_trend=0.11
002406 price=9.18, break_price= 9, percent_to_break=1.74%, recent_trend=0.08
002630 price=10.96, break_price=11, percent_to_break=4.01%, recent_trend=0.09
000031 price=11.21, break_price=12, percent_to_break=4.46%, recent_trend=0.10
601939 price=4.83, break_price= 5, percent_to_break=1.45%, recent_trend=0.03
600048 price=9.49, break_price=10, percent_to_break=5.48%, recent_trend=0.10
002461 price=13.03, break_price=13, percent_to_break=1.77%, recent_trend=0.08
600118 price=35.15, break_price=36, percent_to_break=3.36%, recent_trend=0.10
600229 price=13.07, break_price=13, percent_to_break=0.84%, recent_trend=0.10
002054 price=10.87, break_price=11, percent_to_break=5.61%, recent_trend=0.09
000550 price=26.43, break_price=27, percent_to_break=1.36%, recent_trend=0.05
600021 price=11.77, break_price=12, percent_to_break=1.87%, recent_trend=0.06
601633 price=9.09, break_price= 9, percent_to_break=1.98%, recent_trend=0.05
000722 price=15.40, break_price=16, percent_to_break=4.55%, recent_trend=0.08
000100 price=3.81, break_price= 4, percent_to_break=4.72%, recent_trend=0.06
603636 price=67.98, break_price=70, percent_to_break=2.75%, recent_trend=0.12
002393 price=38.80, break_price=40, percent_to_break=2.04%, recent_trend=0.10
000069 price=7.03, break_price= 7, percent_to_break=2.13%, recent_trend=0.06
000822 price=5.72, break_price= 6, percent_to_break=1.05%, recent_trend=0.08
600119 price=16.73, break_price=17, percent_to_break=4.18%, recent_trend=0.09
600368 price=5.43, break_price= 6, percent_to_break=2.95%, recent_trend=0.09
000738 price=29.30, break_price=31, percent_to_break=4.47%, recent_trend=0.07
600812 price=7.14, break_price= 7, percent_to_break=4.20%, recent_trend=0.10
601369 price=6.99, break_price= 7, percent_to_break=1.57%, recent_trend=0.05
600686 price=14.97, break_price=15, percent_to_break=1.27%, recent_trend=0.06
000062 price=27.67, break_price=29, percent_to_break=3.14%, recent_trend=0.08
600598 price=11.24, break_price=12, percent_to_break=5.52%, recent_trend=0.09
600246 price=5.67, break_price= 6, percent_to_break=2.12%, recent_trend=0.09
300150 price=12.24, break_price=13, percent_to_break=4.08%, recent_trend=0.08
600886 price=6.83, break_price= 7, percent_to_break=1.90%, recent_trend=0.05
300249 price=26.59, break_price=28, percent_to_break=4.85%, recent_trend=0.11
000629 price=3.25, break_price= 3, percent_to_break=5.23%, recent_trend=0.11
601558 price=3.13, break_price= 3, percent_to_break=1.60%, recent_trend=0.04
600795 price=3.10, break_price= 3, percent_to_break=2.26%, recent_trend=0.05
600126 price=6.93, break_price= 7, percent_to_break=5.77%, recent_trend=0.13
601390 price=8.19, break_price= 8, percent_to_break=2.81%, recent_trend=0.07
000981 price=9.55, break_price=10, percent_to_break=4.29%, recent_trend=0.16
600712 price=9.54, break_price=10, percent_to_break=3.98%, recent_trend=0.10
600893 price=39.17, break_price=41, percent_to_break=4.21%, recent_trend=0.07
600606 price=13.47, break_price=14, percent_to_break=5.20%, recent_trend=0.11
603333 price=9.19, break_price=10, percent_to_break=3.48%, recent_trend=0.09
001979 price=15.28, break_price=16, percent_to_break=5.04%, recent_trend=0.09
601766 price=10.23, break_price=11, percent_to_break=4.50%, recent_trend=0.06
300079 price=10.12, break_price=10, percent_to_break=3.75%, recent_trend=0.14
600737 price=12.30, break_price=13, percent_to_break=5.77%, recent_trend=0.09
600108 price=5.68, break_price= 6, percent_to_break=2.64%, recent_trend=0.10
002235 price=31.03, break_price=33, percent_to_break=6.09%, recent_trend=0.16
300235 price=27.60, break_price=29, percent_to_break=5.22%, recent_trend=0.19
600366 price=19.87, break_price=21, percent_to_break=5.13%, recent_trend=0.09
300113 price=89.92, break_price=92, percent_to_break=2.76%, recent_trend=0.14
600651 price=14.35, break_price=15, percent_to_break=3.76%, recent_trend=0.12
002339 price=18.15, break_price=19, percent_to_break=3.58%, recent_trend=0.09
600351 price=11.67, break_price=12, percent_to_break=3.08%, recent_trend=0.09
600369 price=8.65, break_price= 9, percent_to_break=5.66%, recent_trend=0.12
600666 price=31.06, break_price=33, percent_to_break=4.73%, recent_trend=0.12
600726 price=5.41, break_price= 6, percent_to_break=3.51%, recent_trend=0.09
300101 price=22.32, break_price=23, percent_to_break=2.64%, recent_trend=0.08
300148 price=20.86, break_price=22, percent_to_break=5.75%, recent_trend=0.11
600155 price=14.41, break_price=15, percent_to_break=3.26%, recent_trend=0.11
002381 price=14.42, break_price=15, percent_to_break=6.66%, recent_trend=0.10
000938 price=64.95, break_price=67, percent_to_break=2.68%, recent_trend=0.09
002605 price=17.22, break_price=18, percent_to_break=2.73%, recent_trend=0.26
600756 price=33.59, break_price=35, percent_to_break=4.20%, recent_trend=0.09
300380 price=48.67, break_price=51, percent_to_break=4.44%, recent_trend=0.10
300442 price=47.35, break_price=49, percent_to_break=3.82%, recent_trend=0.10
600528 price=13.76, break_price=15, percent_to_break=6.10%, recent_trend=0.10
300177 price=15.06, break_price=16, percent_to_break=5.51%, recent_trend=0.14
000096 price=13.82, break_price=14, percent_to_break=2.39%, recent_trend=0.08
002790 price=46.00, break_price=49, percent_to_break=5.70%, recent_trend=0.18
601020 price=30.31, break_price=32, percent_to_break=4.22%, recent_trend=1.53
